app_id,GOOD,BAD,app_date,disp_income,occ_code,cust_age,time_emp,res_indicator,I_01,I_02,I_03,I_04,D_01,ER_01,ER_02,I_05,D_02,I_06,P_01,S_01,CA_03,CA_02,CA_01,S_02,DTI,UR,PLE
43,0,1,02-Jul-05,420,SO,21,1,R,,250,18,2,,11,,15,0,0.047378897,38.234375,,0,0,3,2,0.00,0.00,0.05
-35,,,02-Jul-05,1,SO,19,2,P,1,200,2,1,,2,1,5,,0.086232583,53.9921875,,0,0,3,-1,,0.00,0.11
38,1,0,02-Jul-05,1,SO,21,,,,,,,,,,,,0,40.21875,,0,,5,-1,,,0.00
26,0,1,02-Jul-05,700,SN,21,,R,1,500,4,,,,0,,526,0.031742534,70.828125,,0,,5,-1,0.75,1.05,0.00
-36,,,02-Jul-05,500,SL,25,,R,,,,,,,,,,0.084350414,40.1796875,,0,,5,-1,0.00,,0.00
34,0,1,02-Jul-05,0,SD,20,1,P,,,22,1,,,,3,,0.325250065,31.40625,2,0,0,3,0,,,0.05
-27,,,02-Jul-05,0,SO,19,1,P,1,,6,3,0,0,3,,,0.031082119,66.28125,2,2,0,3,1,,,0.05
37,1,0,02-Jul-05,0,SO,22,3,P,,950,10,2,0,16,4,16,,0.144333573,50.1796875,1,2,2119,3,0,,0.00,0.14
-28,,,02-Jul-05,380,SD,16,,P,,,,,,,,,,0.856112704,43.3046875,,0,,5,-1,0.00,,0.00
-42,,,02-Jul-05,0,SE,30,0,P,,,13,3,,12,,21,,1.03741033,56.625,1,0,0,3,1,,,0.00
31,0,1,02-Jul-05,0,SC,21,1,P,,,11,,297,4,5,17,,0.244124008,55.71875,,0,,5,4,,,0.05
-60,,,05-Jul-05,0,SA,19,0,P,,1450,9,,25,5,1,7,31,0,86.515625,1,0,,5,2,,0.02,0.00
-79,,,05-Jul-05,0,SA,20,2,R,,,65,1,,,,4,,0.063900195,52.6953125,,0,0,3,-1,,,0.10
-83,,,05-Jul-05,260,SO,19,,P,,,,,,10,,8,,0,44.4453125,,0,,5,-1,0.00,,0.00
-81,,,05-Jul-05,0,SA,24,0,R,,,22,2,,,1,,,0.094695772,45.8359375,1,1,0,2,-1,,,0.00
65,1,0,05-Jul-05,1000,SE,22,,R,,,,,,,,,,0,,,0,,4,-1,0.00,,0.00
86,1,0,05-Jul-05,1,SF,22,0,P,,,17,,45,3,4,10,,0.174824473,67.03125,,0,,5,-1,,,0.00
-63,,,05-Jul-05,1,SD,19,0,P,,,,,,,,4,,0,75.859375,,0,,5,-1,,,0.00
-57,,,05-Jul-05,0,SO,20,0,P,,,19,1,110,6,1,14,,0.057799896,47.03125,1,0,0,3,1,,,0.00
-88,,,05-Jul-05,0,SM,19,0,P,,300,15,,,12,3,27,,0.04827386,77.671875,,0,,5,-1,,0.00,0.00
80,1,0,05-Jul-05,0,SA,19,1,P,,,13,1,40,3,2,12,,0.02842301,58.296875,,0,0,3,-1,,,0.05
-55,,,05-Jul-05,1,SF,20,1,,,550,6,2,0,15,1,27,0,0.113545652,71.828125,1,2,63,3,-1,,0.00,0.05
53,0,1,05-Jul-05,0,FT,22,,,,,,,,,,,,0.079172628,,,0,,5,-1,,,0.00
-47,,,05-Jul-05,600,SC,22,,P,,,,,,,,,,0.045381153,23.234375,1,0,,5,0,0.00,,0.00
-90,,,05-Jul-05,0,SM,38,4,H,,950,18,1,0,,0,,,0,,,0,0,3,-1,,0.00,0.11
85,0,1,05-Jul-05,0,SL,19,1,P,1,200,1,1,,11,0,7,0,0.126737971,68.09375,,0,0,3,-1,,0.00,0.05
-89,,,05-Jul-05,0,SO,22,1,P,,150,14,1,61,,,30,0,0,48.7265625,1,1,513,3,-1,,0.00,0.05
62,1,0,05-Jul-05,1,SO,18,,P,,,,,,11,0,23,,0.167880833,58.375,,0,,5,-1,,,0.00
-51,,,05-Jul-05,0,SO,20,0,P,,,13,1,34,12,3,53,,0,76.234375,1,0,0,3,0,,,0.00
67,1,0,05-Jul-05,140,FT,17,,P,,,,,,,,,,0,67.78125,1,0,,5,1,0.00,,0.00
45,1,0,05-Jul-05,1,SC,23,6,R,,1900,30,1,,,0,,0,0.077688828,68.328125,1,0,0,3,0,,0.00,0.26
-82,,,05-Jul-05,800,SO,23,0,P,6,1500,5,13,,17,,76,,0,70.03125,5,8,1454,3,0,0.00,0.00,0.00
64,1,0,05-Jul-05,0,SO,23,4,R,,,8,,0,,2,,,0,59.84375,,0,,5,3,,,0.17
-56,,,05-Jul-05,1,SB,20,2,P,,,36,1,,,,,,0.160126752,75.828125,2,0,0,3,0,,,0.10
74,1,0,05-Jul-05,1,SL,17,,R,,,,,,,,,,0,30.25390625,,0,,5,-1,,,0.00
-44,,,05-Jul-05,800,SH,20,,P,,50,15,1,1,11,,11,,0,47.0078125,1,1,42,3,0,0.00,0.00,0.00
61,1,0,05-Jul-05,0,SG,20,2,P,1,750,6,1,,11,,63,62,0.006573045,63.9296875,1,1,354,3,2,,0.08,0.10
70,0,1,05-Jul-05,0,SO,30,,P,,950,14,1,,24,11,37,682,0.052771707,78.921875,,0,0,3,-1,,0.72,0.00
106,1,0,06-Jul-05,1,SL,22,0,P,,1500,19,1,,19,6,93,0,0.1978847,49.640625,,0,0,3,-1,,0.00,0.00
94,0,1,06-Jul-05,0,SD,21,0,R,,,11,,635,,,,,0.071086343,29.73828125,1,0,,5,2,,,0.00
111,0,1,06-Jul-05,1,SD,29,1,H,,100,83,2,,,0,,,0.367760315,63.859375,,0,0,3,-1,,0.00,0.03
-104,,,06-Jul-05,0,SO,19,,P,,,,,,9,2,4,,0.124969634,72.109375,,0,,5,-1,,,0.00
114,1,0,06-Jul-05,0,SO,18,,P,,,,,,12,0,8,,0,64.421875,,0,,5,-1,,,0.00
-118,,,06-Jul-05,500,SO,21,,R,,,,,,,,,,0.012171984,52.2890625,,0,,5,-1,0.00,,0.00
-120,,,06-Jul-05,120,SB,19,,P,,,9,2,,13,,57,,0,34.359375,1,1,0,1,-1,0.00,,0.00
115,0,1,06-Jul-05,0,SA,23,0,R,,,,,,,,,,0.103787895,53.7265625,,0,,5,-1,,,0.00
116,0,1,06-Jul-05,0,SA,21,4,P,,950,11,2,,13,,44,1116,0.03876598,47.0859375,2,1,1320,3,1,,1.17,0.19
-99,,,06-Jul-05,0,SC,18,0,P,,100,9,1,0,16,0,28,,0.298273993,48.890625,1,1,6,3,3,,0.00,0.00
-95,,,06-Jul-05,0,SE,18,,P,,,,,,18,0,10,,0,86.953125,,0,,5,-1,,,0.00
-108,,,06-Jul-05,400,SB,18,,P,1,,1,,0,4,,5,,0.095065985,35.953125,1,0,,5,1,0.00,,0.00
-101,,,06-Jul-05,0,SO,23,2,P,,,26,1,,1,2,6,,0.075540484,66.71875,1,0,0,3,1,,,0.09
96,1,0,06-Jul-05,960,SM,46,,,1,950,3,3,,,0,2,805,0,43.2265625,2,0,0,3,1,0.84,0.85,0.00
92,1,0,06-Jul-05,1,SL,22,4,R,,350,16,,,,2,,0,0.087539523,48.28125,,0,,5,-1,,0.00,0.18
91,0,1,06-Jul-05,0,SB,19,1,R,,,,,,,,,,0.254084923,71.3125,,0,,5,-1,,,0.05
-102,,,06-Jul-05,0,SE,22,5,P,2,3900,3,1,0,12,1,1,0,0.056773714,62.484375,3,0,0,3,1,,0.00,0.23
110,1,0,06-Jul-05,0,SO,18,,P,,,,,,26,,4,,0.027053592,50.9765625,,0,,5,-1,,,0.00
-93,,,06-Jul-05,0,SA,20,0,R,2,,3,3,237,,,,,0.615962487,45.1015625,3,3,363,3,0,,,0.00
-113,,,06-Jul-05,0,SO,16,0,R,,,,,,,,,,0.274550767,60.7109375,,0,,5,-1,,,0.00
117,0,1,06-Jul-05,0,SO,28,1,R,,,,,,,,,,0.338373236,65.84375,1,0,,5,1,,,0.04
119,1,0,06-Jul-05,1,SL,19,1,P,,500,10,2,44,9,0,22,0,0.099442833,68.78125,2,2,1150,3,0,,0.00,0.05
-144,,,07-Jul-05,0,SA,20,,R,,,,,,,,,,0,67.53125,,0,,5,-1,,,0.00
147,1,0,07-Jul-05,0,SO,20,1,P,,,,,,2,,15,,0,9.8125,1,0,,5,1,,,0.05
-154,,,07-Jul-05,1,SN,34,0,R,,4150,13,1,,,7,,,0.142291978,21.40234375,,0,0,3,-1,,0.00,0.00
-138,,,07-Jul-05,500,SO,18,,P,1,,5,,40,,,13,,0.10262367,26.87109375,1,0,,5,2,0.00,,0.00
128,1,0,07-Jul-05,0,FT,22,,,,,,,,,,,,0.096788399,,,0,,5,-1,,,0.00
129,0,1,07-Jul-05,0,SO,19,1,P,,,,,,16,26,4,,0,17.1328125,,0,,5,-1,,,0.05
140,0,1,07-Jul-05,1,SC,19,1,P,,,,,,,10,10,,0.378087482,28.35546875,,0,,5,4,,,0.05
141,0,1,07-Jul-05,0,SB,22,3,P,1,3450,2,2,25,1,2,11,,0.111979454,53.484375,1,2,3809,3,1,,0.00,0.14
-153,,,07-Jul-05,560,FT,18,,P,,,,,,,0,2,,0.003489353,53.578125,,0,,5,-1,0.00,,0.00
-156,,,07-Jul-05,0,SA,17,0,P,,,,,,12,0,37,,0.033888234,73.25,,0,,5,-1,,,0.00
-155,,,07-Jul-05,0,SG,32,0,,,,25,1,165,,,,,0.08639102,48.390625,1,0,0,3,1,,,0.00
-123,,,07-Jul-05,1,SH,21,4,P,,2400,16,2,97,2,1,3,343,0,71.40625,1,2,2388,3,0,,0.14,0.19
-150,,,07-Jul-05,0,SA,23,4,R,,,,,,,,,,0.106779598,54.7578125,,0,,5,-1,,,0.17
-139,,,07-Jul-05,1,SL,25,2,R,,,,,,,,,,0,43.21875,,0,,5,-1,,,0.08
-133,,,07-Jul-05,0,SN,31,1,R,,200,12,3,,,,19,,0.687744049,20.9296875,3,1,0,1,1,,0.00,0.03
135,1,0,07-Jul-05,1,SO,29,,R,,,,,,,,,,0.209901922,60.078125,,0,,5,-1,,,0.00
-124,,,07-Jul-05,820,SO,32,,R,,1700,7,1,0,,,,124,0.181158869,,,0,0,3,3,0.15,0.07,0.00
-142,,,07-Jul-05,0,SF,21,1,P,2,,5,2,0,19,3,24,,0.263958697,43.3046875,3,2,604,3,0,,,0.05
131,1,0,07-Jul-05,1,SD,18,,P,,,,,,15,2,53,,0.024618474,55.578125,,0,,5,-1,,,0.00
-145,,,07-Jul-05,1,SB,21,0,P,1,500,1,,50,15,5,7,496,0,63.2265625,2,0,,5,0,,0.99,0.00
143,0,1,07-Jul-05,0,SO,23,1,P,,,,,,,,13,,0.032595161,40.953125,,0,,5,-1,,,0.04
-130,,,07-Jul-05,1,SC,17,0,P,,,,,,,11,,,0,60.0546875,,0,,5,-1,,,0.00
151,1,0,07-Jul-05,0,SA,19,0,P,,150,9,2,,7,3,23,,0.098250776,83.9375,1,1,0,3,1,,0.00,0.00
-148,,,07-Jul-05,0,SA,18,0,P,1,,2,3,,12,0,59,,0.063940404,48.0234375,1,2,0,3,-1,,,0.00
162,1,0,08-Jul-05,1,SB,20,,P,,,,,,15,15,7,,0.065083901,64.1875,,0,,5,-1,,,0.00
-164,,,08-Jul-05,0,SM,31,2,H,,1450,10,,0,,,1,402,0,83.265625,1,0,,5,1,,0.28,0.06
-178,,,08-Jul-05,1,SK,18,,P,,,33,1,,27,0,8,,0,46.3359375,,0,0,3,-1,,,0.00
-193,,,08-Jul-05,0,SM,40,1,H,,39100,10,1,0,,7,,3596,0.034630702,48.53125,1,1,1246,3,4,,0.09,0.03
-165,,,08-Jul-05,1,SO,18,0,P,,,,,,,0,,,0,82.015625,1,0,,5,0,,,0.00
180,1,0,08-Jul-05,0,SC,36,1,H,,4700,17,,,,1,,124,0.027851643,80.25,,0,,5,-1,,0.03,0.03
-195,,,08-Jul-05,0,SC,20,2,P,,,,,,26,2,3,,0,70.1875,,0,,5,-1,,,0.10
-168,,,08-Jul-05,200,SB,18,,P,,,,,,22,0,7,,0.044353992,31.1640625,1,0,,5,0,0.00,,0.00
160,0,1,08-Jul-05,0,SA,30,0,R,,,,,,,,,,0,,,0,,5,-1,,,0.00
191,0,1,08-Jul-05,2,SC,20,1,P,1,750,2,1,271,1,0,13,0,0.203831313,72.171875,1,0,0,3,0,,0.00,0.05
179,1,0,08-Jul-05,1,SK,18,0,P,,,33,1,,27,0,10,,0,46.4296875,,0,0,3,-1,,,0.00
-192,,,08-Jul-05,0,SO,23,0,P,,,,,,0,,7,,0,68.234375,,0,,5,-1,,,0.00
188,1,0,08-Jul-05,0,SO,18,,P,1,100,4,1,,,,,124,0.092462448,27.51953125,1,0,0,3,1,,1.24,0.00
-163,,,08-Jul-05,0,SA,25,0,R,,,10,,,,7,,,0.638838325,31.83203125,,0,,5,-1,,,0.00
166,0,1,08-Jul-05,1,SM,21,3,H,1,,3,1,161,9,,21,,0.245395851,59.578125,1,0,,5,2,,,0.14
175,1,0,08-Jul-05,0,SO,20,2,P,1,,5,1,1,0,0,9,,0.000528448,55.4453125,,0,0,3,-1,,,0.10
174,1,0,08-Jul-05,0,SO,17,0,P,,,,,,4,,2,,0.238042976,56.40625,,0,,5,-1,,,0.00
-190,,,08-Jul-05,0,SD,28,0,R,,500,26,4,75,,11,,496,0.043389877,50.015625,,0,0,3,-1,,0.99,0.00
186,1,0,08-Jul-05,160,SB,18,,P,,,,,,21,0,32,,0,76.9375,,0,,5,-1,0.00,,0.00
161,0,1,08-Jul-05,0,SA,30,0,R,,,,,,,,,,0,,,0,,5,-1,,,0.00
176,1,0,08-Jul-05,100,SN,26,0,,,500,22,1,0,10,6,5,,0.089765755,50.25,,0,0,3,3,0.00,0.00,0.00
167,1,0,08-Jul-05,0,SL,22,5,P,1,700,1,1,1,23,,33,1,0.128964513,61.296875,2,1,275,3,1,,0.00,0.23
-171,,,08-Jul-05,0,SO,17,0,P,,,,,,24,0,46,,0.033422705,51.125,,0,,5,-1,,,0.00
-183,,,08-Jul-05,0,SA,20,1,R,,,23,1,,,,,,0.21843369,45.859375,,0,0,3,-1,,,0.05
157,1,0,08-Jul-05,0,SO,24,1,P,,,,,,,,,,0,44.265625,,0,,5,-1,,,0.04
158,1,0,08-Jul-05,0,SO,18,,P,,,39,1,,19,,24,,0.053124871,74.8125,,0,0,3,-1,,,0.00
-169,,,08-Jul-05,0,SO,20,0,P,,,13,2,0,12,2,24,,0.134957249,68.65625,1,1,0,3,-1,,,0.00
194,1,0,08-Jul-05,0,SC,18,0,P,,,7,1,,23,,76,,0.106758389,67.328125,,0,,5,-1,,,0.00
-198,,,09-Jul-05,660,SA,25,,P,,,18,,,,,3,,0.014480763,77.171875,,0,,5,-1,0.00,,0.00
213,1,0,09-Jul-05,0,SC,20,2,P,1,6000,6,2,30,14,2,29,,0.12147477,64.234375,2,1,1950,3,0,,0.00,0.10
-203,,,09-Jul-05,0,SN,21,1,P,,,,,,2,2,2,,0.110603439,47.3046875,,0,,5,-1,,,0.05
-216,,,09-Jul-05,1,SD,40,2,H,,18300,11,2,0,,4,,7006,0.010960884,35.7421875,,0,0,3,4,,0.38,0.05
208,1,0,09-Jul-05,0,SC,18,0,P,,150,7,1,,1,1,11,1,0,53.1015625,,0,0,3,-1,,0.01,0.00
-222,,,09-Jul-05,500,SO,21,,P,,350,25,3,0,17,,13,0,0.102890059,70.140625,1,3,1034,3,-1,0.00,0.00,0.00
-215,,,09-Jul-05,700,SO,19,0,P,,500,9,4,254,,0,,681,0.319299262,64.84375,1,1,0,1,2,0.97,1.36,0.00
-218,,,09-Jul-05,0,SO,20,,,,,,,,,,8,,0.074684916,21.703125,,0,,5,-1,,,0.00
210,1,0,09-Jul-05,0,SC,20,1,R,,,,,,,,,,0.220615609,37.4609375,,0,,5,-1,,,0.05
-201,,,09-Jul-05,640,SC,29,0,R,,,26,1,,,,,,0.053808566,47.21875,,0,0,3,-1,0.00,,0.00
-223,,,09-Jul-05,0,SA,23,0,P,,1850,14,2,30,24,4,49,992,0,59.1015625,1,1,0,3,-1,,0.54,0.00
219,1,0,09-Jul-05,1,SD,23,,,,,,,,,,,,0,28.2265625,,0,,5,-1,,,0.00
-199,,,09-Jul-05,1,SM,22,4,R,,,58,1,,8,4,31,,0,63.5546875,1,1,827,3,3,,,0.18
212,1,0,09-Jul-05,300,SK,21,,R,,,,,,,,,,0.008786049,47.2421875,,0,,5,-1,0.00,,0.00
217,1,0,09-Jul-05,1,SO,23,,R,,,,,,,,,,0.312628728,51.4375,,0,,5,-1,,,0.00
200,1,0,09-Jul-05,0,SA,23,4,P,,950,32,4,0,13,6,12,61,0.105387383,47.828125,1,2,0,3,1,,0.06,0.17
211,1,0,09-Jul-05,260,SO,19,,R,1,,5,,,,,,,0.046002705,46.8984375,1,0,,5,2,0.00,,0.00
197,1,0,09-Jul-05,0,SK,25,,P,,,65,1,,27,7,6,,0.061730411,91.125,,0,0,3,-1,,,0.00
205,0,1,09-Jul-05,0,SD,19,1,R,2,,4,1,230,,0,,,0.356764555,40.765625,2,1,11,3,1,,,0.05
202,1,0,09-Jul-05,2,SO,21,,,,,,,,,,,,0.187923515,74.875,1,0,,5,0,,,0.00
-249,,,12-Jul-05,0,SF,21,1,P,,200,11,3,46,8,4,4,,0.424288213,43.96875,1,2,0,1,4,,0.00,0.05
236,1,0,12-Jul-05,1,SO,31,,R,,,40,1,,,0,,,0.258034437,38.53125,,0,0,3,-1,,,0.00
-256,,,12-Jul-05,0,SO,37,0,,,,,,,,,,,0.338299624,61.125,1,0,,5,0,,,0.00
254,1,0,12-Jul-05,0,SO,20,1,P,,,,,,,,,,0.118531911,49.265625,,0,,5,-1,,,0.05
-234,,,12-Jul-05,0,SC,19,1,P,,,,,,7,1,5,,0.123960845,63.9453125,1,0,,5,0,,,0.05
231,1,0,12-Jul-05,1,SA,22,4,P,,400,25,1,0,18,,51,373,0.027114147,38.984375,1,1,725,3,0,,0.93,0.18
235,1,0,12-Jul-05,300,SO,19,,P,,,14,1,19,11,0,34,,0.036295542,74.75,1,0,0,3,1,0.00,,0.00
-233,,,12-Jul-05,0,SH,28,0,P,,,25,,1,17,10,9,,0,57.5078125,1,0,,5,0,,,0.00
-232,,,12-Jul-05,0,SM,24,2,P,,,18,3,,18,6,25,,0,71.578125,1,2,1213,3,0,,,0.08
-248,,,12-Jul-05,0,SM,20,1,P,,,9,2,,12,2,15,,0.036978199,64.390625,1,1,0,3,4,,,0.05
-225,,,12-Jul-05,1,SO,20,2,P,,,7,1,0,,3,4,,0,61.5625,1,0,0,3,1,,,0.10
-242,,,12-Jul-05,0,SD,22,1,P,,,19,1,,27,4,7,,0,44.1875,1,0,0,3,1,,,0.05
230,1,0,12-Jul-05,2,SO,19,,P,,,,,,,,,,0.106743986,52.3515625,1,0,,5,0,,,0.00
247,0,1,12-Jul-05,0,SM,22,1,P,,,,,,1,5,,,0,93,1,0,,5,1,,,0.05
245,1,0,12-Jul-05,0,SL,20,3,P,,2350,23,2,,0,,2,247,0,57.21875,1,1,1920,3,1,,0.11,0.15
244,0,1,12-Jul-05,1000,SL,26,0,P,,350,10,3,0,23,8,24,310,0.025813608,29.3515625,1,0,0,3,1,0.31,0.89,0.00
240,0,1,12-Jul-05,1,SD,23,1,R,,,,,,,,,,0.007063317,60.515625,,0,,5,-1,,,0.04
226,0,1,12-Jul-05,0,FT,26,0,P,,,,,,,,,,0,,,0,,4,-1,,,0.00
250,1,0,12-Jul-05,0,SF,19,,R,,,,,,,,,,0.36960144,54.7421875,,0,,5,-1,,,0.00
-241,,,12-Jul-05,0,SO,22,1,R,2,,6,1,65,,,,,0.17348474,57.5234375,3,1,504,3,1,,,0.05
275,0,1,13-Jul-05,1,SO,20,,P,,,,,,,0,,,0.217602424,43.1328125,1,0,,5,1,,,0.00
265,1,0,13-Jul-05,1,SO,21,,P,,950,10,1,30,28,3,10,,0.273047115,60.953125,,0,0,3,-1,,0.00,0.00
-259,,,13-Jul-05,540,SO,20,,P,,,37,1,,,,,,0.015572099,40.59375,3,0,,5,1,0.00,,0.00
273,0,1,13-Jul-05,0,SO,18,1,R,,,,,,,,,,0,,,0,,4,-1,,,0.06
-276,,,13-Jul-05,0,SA,19,0,P,,,,,,,,,,0.052585086,36.203125,,0,,5,-1,,,0.00
-260,,,13-Jul-05,0,SA,18,0,P,,,9,1,,17,0,40,,0,59.5390625,,0,0,3,4,,,0.00
277,0,1,13-Jul-05,600,SB,20,,R,,,,,,,,,,0.191610963,71.09375,,0,,5,-1,0.00,,0.00
-268,,,13-Jul-05,0,SL,21,3,P,1,950,5,1,1,0,0,3,,0.028565188,69.5625,1,0,0,3,2,,0.00,0.14
263,0,1,13-Jul-05,0,SB,19,1,P,,,11,,40,4,3,4,,0.186843214,30.79296875,,0,,5,-1,,,0.05
-278,,,13-Jul-05,0,SB,18,1,P,,,,,,4,,5,,0,,1,0,,5,0,,,0.06
-272,,,13-Jul-05,2,SH,18,0,P,,,36,1,,7,0,34,,0.056967121,73.421875,,0,0,3,2,,,0.00
-280,,,13-Jul-05,1,SO,19,0,,1,,4,1,34,,0,,,1.071026169,54.859375,,0,0,3,-1,,,0.00
274,1,0,13-Jul-05,0,SB,30,,R,,,11,1,,,,,,0.134553402,74.3125,1,0,0,3,1,,,0.00
-299,,,14-Jul-05,700,SB,23,,R,,,9,1,,,,,,0.226310199,58.9453125,,0,0,3,-1,0.00,,0.00
-319,,,14-Jul-05,0,SO,17,0,,,,,,,,,4,,0.052284813,40.8515625,,0,,5,-1,,,0.00
309,0,1,14-Jul-05,0,SO,30,0,R,,,,,,,,,,0.339156392,38.8125,,0,,5,-1,,,0.00
301,1,0,14-Jul-05,0,SH,19,1,P,,500,9,3,30,23,2,10,,0,57.390625,1,1,0,3,4,,0.00,0.05
-313,,,14-Jul-05,0,SO,21,,P,,500,27,1,,7,4,33,155,0.033790593,53.8125,1,1,1220,3,-1,,0.31,0.00
-306,,,14-Jul-05,0,SG,24,0,P,,,13,3,689,19,6,23,,0.1391639,61.0703125,3,0,0,3,1,,,0.00
311,1,0,14-Jul-05,0,SF,17,0,P,,,,,,6,0,12,,0.037961512,64.875,,0,,5,-1,,,0.00
-305,,,14-Jul-05,1200,SN,23,2,P,,800,9,4,46,25,5,81,776,0.141035143,72.546875,1,2,1,3,3,0.65,0.97,0.09
294,1,0,14-Jul-05,0,SO,19,1,P,,250,12,1,1,22,1,10,,0.027951845,84.625,1,1,2,3,-1,,0.00,0.05
298,0,1,14-Jul-05,500,SB,21,,R,1,,3,1,,,,,,0.630513039,71.734375,,0,0,3,-1,0.00,,0.00
-290,,,14-Jul-05,680,SD,27,0,H,1,,2,2,0,,7,,,0.425858148,49.2734375,1,1,15,3,4,0.00,,0.00
289,1,0,14-Jul-05,1,SO,19,2,R,,,,,,,,,,0.120750077,67.140625,,0,,5,-1,,,0.11
-310,,,14-Jul-05,0,SF,18,1,P,1,6600,4,2,130,,10,,0,0.01602155,78.296875,2,1,0,3,2,,0.00,0.06
308,1,0,14-Jul-05,0,SM,23,5,R,,100,13,2,0,,3,,,0,35.234375,1,2,684,3,-1,,0.00,0.22
283,1,0,14-Jul-05,1,SL,26,99999,P,1,3200,6,3,0,,9,5,1735,0.049869619,56.9296875,1,2,960,3,1,,0.54,
-317,,,14-Jul-05,1,SD,20,0,P,1,2450,2,,1,26,3,22,,0.186374583,55.5625,1,0,,5,1,,0.00,0.00
315,1,0,14-Jul-05,1,SO,19,0,P,1,,5,2,89,12,2,16,,0.095434585,75.90625,,0,0,3,-1,,,0.00
304,1,0,14-Jul-05,0,SF,18,0,P,1,,2,,25,,0,,,0.068286994,24.45703125,1,0,,5,0,,,0.00
291,0,1,14-Jul-05,0,SA,20,2,R,,,,,,,,,,0.063838421,79.234375,,0,,5,-1,,,0.10
307,1,0,14-Jul-05,2,SA,21,1,P,,,44,1,,,2,,,0.091614693,37.7890625,,0,0,3,-1,,,0.05
286,1,0,14-Jul-05,0,SB,18,,P,,,53,1,,9,0,13,,0.423238548,31.06640625,,0,0,3,-1,,,0.00
-303,,,14-Jul-05,300,SL,33,0,R,,,34,1,,,,,,0.002715771,23.74609375,1,0,0,3,1,0.00,,0.00
295,1,0,14-Jul-05,400,FT,44,,R,,2100,28,,0,,,,1210,0.108848334,48.375,,0,,5,-1,3.03,0.58,0.00
-296,,,14-Jul-05,1,SL,27,3,,,2250,70,2,,,0,,713,0.442131891,57.125,1,1,1819,3,4,,0.32,0.11
-282,,,14-Jul-05,1,SA,33,0,R,1,,3,1,160,,0,,,0.082145614,48.53125,2,0,0,3,0,,,0.00
343,0,1,15-Jul-05,0,SC,18,0,P,,,,,,,,9,,0,34.203125,,0,,5,-1,,,0.00
-346,,,15-Jul-05,10,SO,17,,P,,,,,,10,,15,,0.079748106,66.328125,,0,,5,-1,0.00,,0.00
-323,,,15-Jul-05,0,SO,17,,P,1,150,1,,,3,,23,,0.075774368,80.609375,,0,,5,-1,,0.00,0.00
